GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-asm,org.spf4j.base.asm,MethodInvocationClassVisitor.MethodVisitorImpl,292,550,19,52,55,142,18,42,2,9
spf4j-asm,org.spf4j.base.asm,Invocation,102,80,18,0,27,14,15,5,6,5
spf4j-asm,org.spf4j.base.asm,TypeUtils,3,17,0,0,1,1,1,1,1,1
spf4j-asm,org.spf4j.base.asm,UnknownValue,3,18,0,0,1,4,1,2,1,2
spf4j-asm,org.spf4j.base.asm,Scanner,39,98,6,6,3,18,5,6,1,4
spf4j-asm,org.spf4j.base.asm,Scanner.new Supplier() {...},0,18,0,0,0,2,0,2,0,2
spf4j-asm,org.spf4j.base.asm,MethodInvocationClassVisitor.MethodVisitorImpl.new PrivilegedAction() {...},0,15,0,0,0,3,0,2,0,2
spf4j-asm,org.spf4j.base.asm,MethodInvocationClassVisitor,27,48,0,2,1,12,1,5,1,4
